03-12-2025 15:36:34 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [17%@1418,10%@1419,6%@1419,14%@1410,10%@1418,6%@1420] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.9C AO@42.5C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5047mW VDD_CPU_GPU_CV 655mW/777mW VDD_SOC 1104mW/1110mW
03-12-2025 15:36:37 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [12%@1189,13%@1188,8%@1190,6%@1189,9%@1198,12%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@42.5C thermal@42.4C AO@42.5C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5034mW VDD_CPU_GPU_CV 696mW/772mW VDD_SOC 1104mW/1109mW
03-12-2025 15:36:40 RAM 4463/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [15%@1190,10%@1188,8%@1189,6%@1190,13%@1186,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42.5C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5024mW VDD_CPU_GPU_CV 655mW/764mW VDD_SOC 1104mW/1109mW
03-12-2025 15:36:43 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [10%@1419,15%@1187,11%@1191,9%@1188,9%@1190,5%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@42.4C AO@42C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5014mW VDD_CPU_GPU_CV 655mW/757mW VDD_SOC 1104mW/1109mW
03-12-2025 15:36:46 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [12%@1190,18%@1190,7%@1187,6%@1265,11%@1266,4%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@42.05C AO@41.5C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5006mW VDD_CPU_GPU_CV 655mW/751mW VDD_SOC 1104mW/1108mW
03-12-2025 15:36:49 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [14%@1190,9%@1190,15%@1191,7%@1192,7%@1189,10%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.9C AO@41.5C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4999mW VDD_CPU_GPU_CV 614mW/743mW VDD_SOC 1104mW/1108mW
03-12-2025 15:36:52 RAM 4462/6854MB (lfb 46x4MB) SWAP 67/19811MB (cached 0MB) CPU [13%@1186,11%@1190,9%@1185,10%@1192,6%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.7C AO@41.5C GPU@40.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4992mW VDD_CPU_GPU_CV 655mW/739mW VDD_SOC 1104mW/1108mW
03-12-2025 15:36:55 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [13%@1420,12%@1419,17%@1419,6%@1421,13%@1420,13%@1418] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41C GPU@40.5C iwlwifi@36C PMIC@50C VDD_IN 4956mW/4990mW VDD_CPU_GPU_CV 696mW/736mW VDD_SOC 1104mW/1108mW
03-12-2025 15:36:58 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [19%@1190,11%@1191,6%@1190,4%@1190,6%@1190,11%@1192] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4983mW VDD_CPU_GPU_CV 655mW/733mW VDD_SOC 1104mW/1107mW
03-12-2025 15:37:01 RAM 4461/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [17%@1189,8%@1190,5%@1190,3%@1188,13%@1190,13%@1188] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@41.1C AO@41C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4978mW VDD_CPU_GPU_CV 696mW/731mW VDD_SOC 1104mW/1107mW
