03-13-2025 13:40:59 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [17%@1190,12%@1190,4%@1190,3%@1190,10%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 5%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@43.7C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5056mW VDD_CPU_GPU_CV 655mW/828mW VDD_SOC 1104mW/1107mW
03-13-2025 13:41:02 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [16%@1190,9%@1189,9%@1189,10%@1190,12%@1189,5%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@44.2C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 4956mW/5049mW VDD_CPU_GPU_CV 696mW/818mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:05 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [21%@1296,13%@1224,11%@1185,6%@1189,12%@1190,13%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.4C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 5201mW/5059mW VDD_CPU_GPU_CV 942mW/826mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:08 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1190,7%@1187,6%@1189,8%@1190,11%@1188,8%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.2C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5050mW VDD_CPU_GPU_CV 655mW/816mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:11 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1189,12%@1190,4%@1190,5%@1190,6%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5042mW VDD_CPU_GPU_CV 655mW/806mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:14 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1190,6%@1185,9%@1190,6%@1190,12%@1189,10%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5033mW VDD_CPU_GPU_CV 655mW/798mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:17 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [23%@1190,10%@1188,9%@1190,7%@1189,13%@1190,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.55C AO@44.5C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5024mW VDD_CPU_GPU_CV 655mW/790mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:20 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1189,10%@1190,10%@1190,6%@1189,10%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.9C AO@44.5C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4956mW/5021mW VDD_CPU_GPU_CV 696mW/786mW VDD_SOC 1104mW/1106mW
03-13-2025 13:41:23 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [11%@1191,6%@1189,6%@1191,4%@1189,18%@1191,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@45.05C AO@45C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5016mW VDD_CPU_GPU_CV 655mW/779mW VDD_SOC 1104mW/1105mW
03-13-2025 13:41:26 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1190,15%@1190,14%@1189,8%@1190,17%@1189,14%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45.5C thermal@45.2C AO@45C GPU@44.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/5009mW VDD_CPU_GPU_CV 655mW/774mW VDD_SOC 1104mW/1105mW
