03-13-2025 06:36:50 RAM 4850/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [13%@1190,10%@1187,4%@1190,6%@1190,4%@1188,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@42.9C AO@43C GPU@42C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4880mW VDD_CPU_GPU_CV 614mW/655mW VDD_SOC 1104mW/1107mW
03-13-2025 06:36:53 RAM 4851/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [11%@1190,2%@1190,11%@1190,7%@1190,5%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@43C thermal@42.7C AO@42.5C GPU@42C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4874mW VDD_CPU_GPU_CV 573mW/649mW VDD_SOC 1104mW/1106mW
03-13-2025 06:36:56 RAM 4848/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [14%@1423,12%@1420,4%@1420,8%@1420,10%@1421,8%@1419] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@43.5C thermal@42.7C AO@42.5C GPU@41.5C iwlwifi@37C PMIC@50C VDD_IN 5324mW/4904mW VDD_CPU_GPU_CV 1064mW/676mW VDD_SOC 1104mW/1106mW
03-13-2025 06:36:59 RAM 4847/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [15%@1190,6%@1189,8%@1190,4%@1190,5%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42C GPU@41.5C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4897mW VDD_CPU_GPU_CV 573mW/670mW VDD_SOC 1104mW/1106mW
03-13-2025 06:37:02 RAM 4848/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [14%@1190,5%@1190,6%@1190,1%@1190,9%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@42.25C AO@42C GPU@41C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4893mW VDD_CPU_GPU_CV 614mW/667mW VDD_SOC 1104mW/1106mW
03-13-2025 06:37:05 RAM 4839/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [9%@1190,1%@1190,14%@1190,9%@1191,4%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.9C AO@42C GPU@41C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4892mW VDD_CPU_GPU_CV 614mW/664mW VDD_SOC 1104mW/1106mW
03-13-2025 06:37:08 RAM 4849/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [19%@1190,10%@1190,12%@1189,5%@1190,12%@1190,11%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.9C AO@42C GPU@41C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4886mW VDD_CPU_GPU_CV 614mW/661mW VDD_SOC 1104mW/1106mW
03-13-2025 06:37:11 RAM 4849/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [9%@1190,1%@1190,3%@1189,3%@1189,15%@1190,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@42C thermal@41.4C AO@41.5C GPU@40.5C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4882mW VDD_CPU_GPU_CV 614mW/659mW VDD_SOC 1104mW/1106mW
03-13-2025 06:37:14 RAM 4848/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [9%@1190,2%@1189,6%@1190,8%@1191,6%@1190,3%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41.5C GPU@41C iwlwifi@37C PMIC@50C VDD_IN 4710mW/4873mW VDD_CPU_GPU_CV 532mW/653mW VDD_SOC 1063mW/1104mW
03-13-2025 06:37:17 RAM 4850/6854MB (lfb 9x1MB) SWAP 240/19811MB (cached 38MB) CPU [14%@1190,8%@1190,8%@1190,18%@1187,10%@1189,10%@1187] EMC_FREQ 0%@1600 GR3D_FREQ 14%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.2C AO@41C GPU@40.5C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4870mW VDD_CPU_GPU_CV 614mW/651mW VDD_SOC 1104mW/1104mW
