03-14-2025 01:00:17 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [12%@1189,4%@1188,11%@1186,7%@1419,19%@1190,12%@1190] EMC_FREQ 22%@1600 GR3D_FREQ 99%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.65C AO@46.5C GPU@47.5C iwlwifi@37C PMIC@50C VDD_IN 11486mW/10642mW VDD_CPU_GPU_CV 5775mW/5110mW VDD_SOC 1638mW/1568mW
03-14-2025 01:00:20 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [16%@1343,18%@1206,4%@1190,3%@1189,19%@1190,5%@1191] EMC_FREQ 19%@1600 GR3D_FREQ 99%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.65C AO@46.5C GPU@47C iwlwifi@37C PMIC@50C VDD_IN 9886mW/10588mW VDD_CPU_GPU_CV 4505mW/5066mW VDD_SOC 1515mW/1564mW
03-14-2025 01:00:23 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [13%@1282,14%@1419,9%@1421,9%@1421,8%@1420,8%@1420] EMC_FREQ 25%@1600 GR3D_FREQ 17%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@47C thermal@46.8C AO@47C GPU@47.5C iwlwifi@37C PMIC@50C VDD_IN 12553mW/10719mW VDD_CPU_GPU_CV 6471mW/5160mW VDD_SOC 1761mW/1577mW
03-14-2025 01:00:26 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [9%@1190,10%@1189,14%@1329,11%@1240,5%@1190,6%@1190] EMC_FREQ 22%@1600 GR3D_FREQ 48%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.95C AO@47C GPU@47.5C iwlwifi@37C PMIC@50C VDD_IN 11240mW/10752mW VDD_CPU_GPU_CV 5488mW/5180mW VDD_SOC 1638mW/1581mW
03-14-2025 01:00:29 RAM 4026/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [17%@1420,13%@1189,4%@1190,3%@1189,11%@1189,11%@1190] EMC_FREQ 22%@1600 GR3D_FREQ 68%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.65C AO@46.5C GPU@47C iwlwifi@37C PMIC@50C VDD_IN 10502mW/10737mW VDD_CPU_GPU_CV 4915mW/5165mW VDD_SOC 1597mW/1582mW
03-14-2025 01:00:32 RAM 4026/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [10%@1420,6%@1267,4%@1266,4%@1189,23%@1190,11%@1189] EMC_FREQ 25%@1600 GR3D_FREQ 99%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.8C AO@47C GPU@48C iwlwifi@37C PMIC@50C VDD_IN 12143mW/10815mW VDD_CPU_GPU_CV 6225mW/5224mW VDD_SOC 1720mW/1590mW
03-14-2025 01:00:35 RAM 4026/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [7%@1189,9%@1190,8%@1190,4%@1188,20%@1190,10%@1190] EMC_FREQ 24%@1600 GR3D_FREQ 91%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46.5C thermal@46.95C AO@47C GPU@47.5C iwlwifi@37C PMIC@50C VDD_IN 11979mW/10876mW VDD_CPU_GPU_CV 5980mW/5263mW VDD_SOC 1720mW/1596mW
03-14-2025 01:00:38 RAM 4026/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [13%@1420,14%@1420,7%@1419,5%@1420,17%@1420,6%@1420] EMC_FREQ 25%@1600 GR3D_FREQ 61%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47.15C AO@47C GPU@47.5C iwlwifi@37C PMIC@50C VDD_IN 12102mW/10938mW VDD_CPU_GPU_CV 6184mW/5309mW VDD_SOC 1720mW/1603mW
03-14-2025 01:00:41 RAM 4026/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [14%@1190,14%@1190,3%@1190,2%@1189,18%@1190,9%@1190] EMC_FREQ 25%@1600 GR3D_FREQ 46%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@46.95C AO@47C GPU@48C iwlwifi@37C PMIC@50C VDD_IN 11896mW/10983mW VDD_CPU_GPU_CV 6062mW/5345mW VDD_SOC 1679mW/1606mW
03-14-2025 01:00:44 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [11%@1267,8%@1266,12%@1190,16%@1191,9%@1190,4%@1189] EMC_FREQ 24%@1600 GR3D_FREQ 73%@[1109] VIC_FREQ 601 APE 150 AUX@46.5C CPU@47C thermal@47.15C AO@47C GPU@48C iwlwifi@37C PMIC@50C VDD_IN 11814mW/11021mW VDD_CPU_GPU_CV 5939mW/5372mW VDD_SOC 1679mW/1610mW
03-14-2025 01:00:47 RAM 4028/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [12%@1187,10%@1189,7%@1190,5%@1191,15%@1189,10%@1190] EMC_FREQ 26%@1600 GR3D_FREQ 65%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47.3C AO@47.5C GPU@48C iwlwifi@37C PMIC@50C VDD_IN 12225mW/11073mW VDD_CPU_GPU_CV 6225mW/5409mW VDD_SOC 1720mW/1614mW
03-14-2025 01:00:50 RAM 4028/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [20%@1188,14%@1190,3%@1190,9%@1190,6%@1188,9%@1190] EMC_FREQ 24%@1600 GR3D_FREQ 31%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47.5C thermal@47C AO@47.5C GPU@48C iwlwifi@37C PMIC@50C VDD_IN 12184mW/11120mW VDD_CPU_GPU_CV 6225mW/5443mW VDD_SOC 1720mW/1619mW
03-14-2025 01:00:53 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [5%@1321,4%@1342,6%@1190,12%@1187,15%@1189,13%@1188] EMC_FREQ 26%@1600 GR3D_FREQ 86%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47.6C AO@47.5C GPU@48C iwlwifi@39C PMIC@50C VDD_IN 12389mW/11170mW VDD_CPU_GPU_CV 6389mW/5481mW VDD_SOC 1720mW/1623mW
03-14-2025 01:00:56 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [12%@1417,13%@1214,13%@1420,15%@1190,14%@1189,11%@1191] EMC_FREQ 24%@1600 GR3D_FREQ 99%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47.5C thermal@47C AO@47.5C GPU@48.5C iwlwifi@40C PMIC@50C VDD_IN 12225mW/11211mW VDD_CPU_GPU_CV 6225mW/5510mW VDD_SOC 1720mW/1626mW
03-14-2025 01:00:59 RAM 4027/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [6%@1188,2%@1190,12%@1187,16%@1190,7%@1190,5%@1190] EMC_FREQ 15%@1600 GR3D_FREQ 44%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47C AO@47C GPU@47C iwlwifi@37C PMIC@50C VDD_IN 8245mW/11101mW VDD_CPU_GPU_CV 3235mW/5425mW VDD_SOC 1392mW/1618mW
03-14-2025 01:01:02 RAM 4028/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [11%@1267,17%@1265,4%@1341,5%@1344,12%@1344,11%@1344] EMC_FREQ 19%@1600 GR3D_FREQ 1%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47.3C AO@47C GPU@47C iwlwifi@37C PMIC@50C VDD_IN 9517mW/11044mW VDD_CPU_GPU_CV 4218mW/5382mW VDD_SOC 1515mW/1614mW
03-14-2025 01:01:05 RAM 4028/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [14%@1190,14%@1189,7%@1190,6%@1194,5%@1190,8%@1190] EMC_FREQ 16%@1600 GR3D_FREQ 0%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47C AO@47C GPU@46.5C iwlwifi@37C PMIC@50C VDD_IN 8943mW/10972mW VDD_CPU_GPU_CV 3727mW/5325mW VDD_SOC 1474mW/1609mW
03-14-2025 01:01:08 RAM 4028/6854MB (lfb 9x2MB) SWAP 256/19811MB (cached 58MB) CPU [10%@1190,6%@1189,8%@1190,5%@1190,17%@1190,10%@1190] EMC_FREQ 23%@1600 GR3D_FREQ 1%@[1109] VIC_FREQ 601 APE 150 AUX@47C CPU@47C thermal@47.3C AO@47C GPU@47C iwlwifi@37C PMIC@50C VDD_IN 10912mW/10970mW VDD_CPU_GPU_CV 5201mW/5321mW VDD_SOC 1597mW/1609mW
