03-13-2025 05:14:40 RAM 4895/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [11%@1179,5%@1191,7%@1190,2%@1189,7%@1190,9%@1186] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.9C AO@43C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4914mW VDD_CPU_GPU_CV 573mW/692mW VDD_SOC 1104mW/1110mW
03-13-2025 05:14:43 RAM 4896/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [11%@1190,2%@1190,13%@1189,14%@1190,4%@1190,2%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@43.05C AO@43C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4909mW VDD_CPU_GPU_CV 614mW/687mW VDD_SOC 1104mW/1109mW
03-13-2025 05:14:46 RAM 4897/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [17%@1189,4%@1191,9%@1190,7%@1190,9%@1190,14%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@43.5C thermal@43.2C AO@43.5C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 5201mW/4928mW VDD_CPU_GPU_CV 942mW/704mW VDD_SOC 1104mW/1109mW
03-13-2025 05:14:49 RAM 4895/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [11%@1188,4%@1189,1%@1192,7%@1190,9%@1186,8%@1187] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@43.5C thermal@43.4C AO@43.5C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4919mW VDD_CPU_GPU_CV 614mW/698mW VDD_SOC 1104mW/1109mW
03-13-2025 05:14:52 RAM 4897/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [13%@1190,3%@1190,5%@1191,7%@1189,5%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.4C AO@44C GPU@43C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4917mW VDD_CPU_GPU_CV 614mW/693mW VDD_SOC 1104mW/1108mW
03-13-2025 05:14:55 RAM 4895/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [16%@1344,5%@1419,8%@1211,2%@1189,10%@1189,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@43.9C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4910mW VDD_CPU_GPU_CV 573mW/686mW VDD_SOC 1104mW/1108mW
03-13-2025 05:14:58 RAM 4897/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [12%@1190,10%@1190,15%@1190,13%@1190,6%@1190,11%@1188] EMC_FREQ 0%@1600 GR3D_FREQ 14%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.05C AO@44C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4906mW VDD_CPU_GPU_CV 614mW/682mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:01 RAM 4896/6854MB (lfb 7x4MB) SWAP 215/19811MB (cached 36MB) CPU [15%@1189,7%@1186,4%@1190,4%@1189,8%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.4C AO@44C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4904mW VDD_CPU_GPU_CV 614mW/679mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:04 RAM 4885/6854MB (lfb 7x4MB) SWAP 209/19811MB (cached 36MB) CPU [19%@1418,8%@1419,12%@1417,8%@1420,10%@1420,12%@1418] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 5160mW/4916mW VDD_CPU_GPU_CV 860mW/688mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:07 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [21%@1191,12%@1189,12%@1190,8%@1190,10%@1189,16%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4914mW VDD_CPU_GPU_CV 655mW/686mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:10 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [14%@1190,8%@1190,6%@1190,6%@1190,6%@1190,5%@1193] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.7C AO@45C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4911mW VDD_CPU_GPU_CV 614mW/683mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:13 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [12%@1419,6%@1420,3%@1420,3%@1190,4%@1189,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@45.05C AO@45C GPU@44C iwlwifi@37C PMIC@50C VDD_IN 4915mW/4911mW VDD_CPU_GPU_CV 655mW/682mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:16 RAM 4889/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [15%@1190,17%@1190,5%@1189,7%@1190,7%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@45.2C AO@45C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 5038mW/4916mW VDD_CPU_GPU_CV 819mW/687mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:19 RAM 4889/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [20%@1414,7%@1418,5%@1419,1%@1419,0%@1419,9%@1420] EMC_FREQ 0%@1600 GR3D_FREQ 14%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@45.2C AO@45C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4913mW VDD_CPU_GPU_CV 614mW/684mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:22 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [15%@1189,8%@1189,3%@1187,2%@1189,4%@1189,6%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 10%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45.5C thermal@45.2C AO@45C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4911mW VDD_CPU_GPU_CV 655mW/683mW VDD_SOC 1104mW/1107mW
03-13-2025 05:15:25 RAM 4889/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [14%@1190,9%@1190,4%@1190,8%@1189,1%@1191,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45.5C thermal@45.4C AO@45.5C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4909mW VDD_CPU_GPU_CV 614mW/681mW VDD_SOC 1104mW/1106mW
03-13-2025 05:15:28 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [16%@1344,14%@1342,8%@1397,6%@1420,6%@1420,10%@1421] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.4C AO@45.5C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4904mW VDD_CPU_GPU_CV 573mW/677mW VDD_SOC 1104mW/1106mW
03-13-2025 05:15:31 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [12%@1189,8%@1190,1%@1190,1%@1190,7%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@46C thermal@45.7C AO@45.5C GPU@45C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4902mW VDD_CPU_GPU_CV 614mW/675mW VDD_SOC 1104mW/1106mW
03-13-2025 05:15:34 RAM 4889/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [16%@1190,15%@1190,5%@1190,8%@1190,11%@1190,17%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46C thermal@45.9C AO@46C GPU@45C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4901mW VDD_CPU_GPU_CV 655mW/674mW VDD_SOC 1104mW/1106mW
03-13-2025 05:15:37 RAM 4890/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [22%@1189,15%@1189,7%@1188,3%@1192,6%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46C thermal@46.2C AO@46C GPU@45.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4899mW VDD_CPU_GPU_CV 614mW/672mW VDD_SOC 1104mW/1106mW
03-13-2025 05:15:40 RAM 4891/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [16%@1190,7%@1190,3%@1190,2%@1271,6%@1189,4%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46.5C CPU@46C thermal@46.2C AO@46C GPU@45C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4897mW VDD_CPU_GPU_CV 614mW/671mW VDD_SOC 1145mW/1107mW
03-13-2025 05:15:43 RAM 4891/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [9%@1367,4%@1234,8%@1190,8%@1190,4%@1190,3%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 10%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@46C thermal@45.7C AO@45.5C GPU@45C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4896mW VDD_CPU_GPU_CV 655mW/670mW VDD_SOC 1145mW/1108mW
03-13-2025 05:15:46 RAM 4891/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [14%@1190,15%@1190,6%@1191,11%@1190,15%@1190,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@46C CPU@45.5C thermal@45.4C AO@45.5C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4915mW/4897mW VDD_CPU_GPU_CV 696mW/671mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:49 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [11%@1189,8%@1190,1%@1188,3%@1182,6%@1191,8%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45C thermal@45.05C AO@45C GPU@44.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4895mW VDD_CPU_GPU_CV 614mW/669mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:52 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [11%@1189,8%@1190,2%@1190,3%@1189,6%@1191,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.9C AO@44.5C GPU@44C iwlwifi@37C PMIC@50C VDD_IN 4792mW/4892mW VDD_CPU_GPU_CV 573mW/667mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:55 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [17%@1189,7%@1188,3%@1190,4%@1189,6%@1190,5%@1188] EMC_FREQ 0%@1600 GR3D_FREQ 22%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.4C AO@44.5C GPU@44C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4892mW VDD_CPU_GPU_CV 614mW/665mW VDD_SOC 1104mW/1108mW
03-13-2025 05:15:58 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [17%@1190,10%@1189,10%@1190,7%@1190,16%@1189,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 18%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4891mW VDD_CPU_GPU_CV 614mW/664mW VDD_SOC 1104mW/1108mW
03-13-2025 05:16:01 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [13%@1190,8%@1191,5%@1190,5%@1189,6%@1189,5%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@43.9C AO@43.5C GPU@43C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4891mW VDD_CPU_GPU_CV 655mW/664mW VDD_SOC 1104mW/1108mW
03-13-2025 05:16:04 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [13%@1190,12%@1190,4%@1189,3%@1190,6%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.7C AO@43.5C GPU@43C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4890mW VDD_CPU_GPU_CV 655mW/663mW VDD_SOC 1104mW/1108mW
03-13-2025 05:16:07 RAM 4891/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [20%@1242,11%@1189,5%@1191,8%@1189,10%@1190,14%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.4C AO@43C GPU@42.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4889mW VDD_CPU_GPU_CV 614mW/662mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:10 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [15%@1189,13%@1190,3%@1189,3%@1190,5%@1190,4%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@43.5C thermal@43.4C AO@43C GPU@42.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4888mW VDD_CPU_GPU_CV 614mW/661mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:13 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [11%@1190,3%@1189,3%@1190,9%@1190,6%@1180,10%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.9C AO@43C GPU@42C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4886mW VDD_CPU_GPU_CV 614mW/660mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:16 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [16%@1190,15%@1190,9%@1190,7%@1190,19%@1189,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.85C AO@43C GPU@42C iwlwifi@37C PMIC@50C VDD_IN 4915mW/4887mW VDD_CPU_GPU_CV 696mW/661mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:19 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [17%@1189,6%@1191,1%@1190,4%@1190,11%@1189,7%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@42.9C AO@43C GPU@42C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4886mW VDD_CPU_GPU_CV 614mW/660mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:22 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [15%@1188,8%@1189,2%@1192,9%@1182,4%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@43.25C AO@43.5C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4884mW VDD_CPU_GPU_CV 573mW/658mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:25 RAM 4895/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [15%@1419,10%@1420,15%@1419,8%@1419,10%@1420,9%@1419] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.4C AO@43.5C GPU@42.5C iwlwifi@37C PMIC@50C VDD_IN 5365mW/4894mW VDD_CPU_GPU_CV 1105mW/667mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:28 RAM 4891/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [12%@1190,7%@1190,12%@1188,5%@1190,4%@1194,4%@1185] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@43.5C thermal@43.4C AO@43.5C GPU@42.5C iwlwifi@37C PMIC@50C VDD_IN 4751mW/4891mW VDD_CPU_GPU_CV 573mW/665mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:31 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [11%@1190,5%@1189,2%@1189,6%@1190,13%@1190,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.7C AO@44C GPU@43C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4891mW VDD_CPU_GPU_CV 655mW/665mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:34 RAM 4893/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [16%@1190,10%@1190,13%@1189,13%@1189,12%@1190,14%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.05C AO@43.5C GPU@43C iwlwifi@37C PMIC@50C VDD_IN 4915mW/4891mW VDD_CPU_GPU_CV 655mW/665mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:38 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [18%@1186,15%@1185,7%@1187,11%@1184,7%@1190,9%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.05C AO@44C GPU@43.5C iwlwifi@37C PMIC@50C VDD_IN 4833mW/4890mW VDD_CPU_GPU_CV 614mW/664mW VDD_SOC 1104mW/1107mW
03-13-2025 05:16:41 RAM 4892/6854MB (lfb 7x4MB) SWAP 207/19811MB (cached 36MB) CPU [21%@1190,8%@1190,2%@1190,2%@1191,7%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.2C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4889mW VDD_CPU_GPU_CV 614mW/663mW VDD_SOC 1104mW/1107mW
