03-13-2025 00:49:49 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [15%@1189,12%@1189,3%@1190,1%@1190,8%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 5%@[114] VIC_FREQ 601 APE 150 AUX@45.5C CPU@45.5C thermal@45.2C AO@45C GPU@44.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/5006mW VDD_CPU_GPU_CV 696mW/768mW VDD_SOC 1145mW/1126mW
03-13-2025 00:49:52 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [23%@1190,18%@1190,7%@1190,12%@1190,10%@1190,15%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.85C AO@45C GPU@44C iwlwifi@36C PMIC@50C VDD_IN 4997mW/5005mW VDD_CPU_GPU_CV 737mW/766mW VDD_SOC 1104mW/1124mW
03-13-2025 00:49:55 RAM 4025/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [19%@1189,15%@1197,13%@1190,9%@1188,11%@1185,11%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@45C thermal@44.7C AO@44.5C GPU@44C iwlwifi@37C PMIC@50C VDD_IN 4874mW/4996mW VDD_CPU_GPU_CV 655mW/758mW VDD_SOC 1104mW/1123mW
03-13-2025 00:49:58 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [19%@1190,10%@1189,7%@1190,6%@1190,5%@1190,5%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.2C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4915mW/4991mW VDD_CPU_GPU_CV 655mW/752mW VDD_SOC 1104mW/1121mW
03-13-2025 00:50:01 RAM 4027/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [11%@1420,8%@1421,21%@1418,18%@1260,12%@1420,7%@1420] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44.5C thermal@44.2C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 5529mW/5023mW VDD_CPU_GPU_CV 1269mW/782mW VDD_SOC 1145mW/1123mW
03-13-2025 00:50:04 RAM 4025/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [17%@1191,13%@1190,10%@1190,12%@1189,14%@1190,14%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@43.7C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 5120mW/5028mW VDD_CPU_GPU_CV 860mW/787mW VDD_SOC 1104mW/1122mW
03-13-2025 00:50:07 RAM 4025/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [7%@1189,1%@1189,9%@1192,10%@1190,11%@1189,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@43.5C thermal@43.55C AO@43.5C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/5018mW VDD_CPU_GPU_CV 614mW/777mW VDD_SOC 1104mW/1121mW
03-13-2025 00:50:10 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [7%@1189,2%@1188,12%@1189,12%@1190,11%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@43.2C AO@43C GPU@42.5C iwlwifi@37C PMIC@50C VDD_IN 4874mW/5011mW VDD_CPU_GPU_CV 655mW/771mW VDD_SOC 1104mW/1120mW
03-13-2025 00:50:13 RAM 4025/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [21%@1190,11%@1189,11%@1189,9%@1190,12%@1190,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.9C AO@43C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4833mW/5002mW VDD_CPU_GPU_CV 614mW/764mW VDD_SOC 1104mW/1119mW
03-13-2025 00:50:16 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [13%@1421,11%@1419,10%@1420,18%@1419,14%@1420,17%@1419] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@43C thermal@42.9C AO@42.5C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4996mW VDD_CPU_GPU_CV 655mW/759mW VDD_SOC 1104mW/1118mW
03-13-2025 00:50:19 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [14%@1190,7%@1190,4%@1190,6%@1189,11%@1185,13%@1187] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42.5C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4989mW VDD_CPU_GPU_CV 655mW/754mW VDD_SOC 1104mW/1118mW
03-13-2025 00:50:22 RAM 4026/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [13%@1190,12%@1190,12%@1190,13%@1190,16%@1189,12%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42.5C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4984mW VDD_CPU_GPU_CV 655mW/750mW VDD_SOC 1104mW/1117mW
03-13-2025 00:50:25 RAM 4025/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [14%@1190,11%@1190,10%@1190,10%@1190,12%@1189,16%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@42.2C AO@42C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4977mW VDD_CPU_GPU_CV 573mW/743mW VDD_SOC 1104mW/1117mW
03-13-2025 00:50:28 RAM 4027/6854MB (lfb 43x4MB) SWAP 111/19811MB (cached 2MB) CPU [23%@1190,15%@1190,16%@1189,17%@1190,21%@1190,19%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@41.9C AO@42C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4971mW VDD_CPU_GPU_CV 614mW/738mW VDD_SOC 1104mW/1116mW
